qi,query,rank_a,rank_b,rank_f
0,buckle round toe flat shoes,11,101,30
1,vintage retro round fashion frame sunglasses,101,101,101
2,love moschino designer handbags black patent leather shoulder bag logo,1,1,1
3,womens casual flared color skater skirt,3,12,6
4,topshop super soft scarf,35,8,12
5,smythson detail notebook,1,3,1
6,metallic long-wear cream shadow,101,84,87
7,boy chanel handbag,8,21,12
8,river island camel suede tie shoe boots,1,1,1
9,philosophy christmas shower gel bubble bath oz,1,1,1
10,leather sandals gucci,2,4,1
11,stella mccartney underwear women lace dots soft cup bra,16,46,20
12,cropped sleeveless top,101,101,101
13,taylor premiere fabulous,1,1,1
14,women's kate spade new york glitter iphone plus case,1,10,2
15,saint laurent women's signature monogram cuff,2,5,2
16,real powder brush,3,10,2
17,classic pearl stud earrings,21,46,33
18,matte black ice sunglasses,101,101,101
19,clear round frame sunglasses,16,17,14
20,river island pink studded metal gladiator sandals,1,1,1
21,color faux gem necklace,5,9,3
22,isabel marant Étoile beverly embroidered tunic,101,33,56
23,black diamond angel wing ring,7,4,6
24,ball clock,1,1,1
25,nike stretch-jersey sports bra,17,16,18
26,mat fabric baseball hat,4,68,27
27,brunello cucinelli cashmere t-shirt,1,1,1
28,joseph stretch wool-blend coat,101,101,101
29,rebecca taylor ruffle crepe dress,2,1,1
30,city chic crochet trim short short,4,1,1
31,christian louboutin rose du desert flat gladiator red sole sandal,33,65,34
32,carvela kurt geiger women leopard faux suede sandals,1,1,1
33,tibi brown fringe scarf,9,6,7
34,nude pleated midi skirt,4,2,3
35,women's maya bow front top,1,14,2
36,maria feather plain cuff,4,2,2
37,schutz calf hair ankle boots,34,12,24
38,laura mercier coral red illuminating powder,3,3,4
39,women's erickson sport,101,101,101
40,dolce&gabbana dolce floral eau de toilette,5,2,5
41,club mini satchel color green,29,13,18
42,purple stone gold-tone drop earrings,19,24,21
43,women lace-up nappa leather punk pants,3,1,2
44,intense ink eyeliner,47,36,33
45,eos limited edition passion fruit smooth lip balm oz,7,7,6
46,river island white pineapple print oversized crop top,1,1,1
47,side pencil skirt,5,68,13
48,vero moda short dress,101,101,101
49,river island black chelsea girl velvet glitter leggings,1,1,1
50,balmain leopard-print calf hair boots,3,1,2
51,roger vivier women patent leather ballerina flats,1,5,3
52,cosmetic,101,101,101
53,mens black leather belt,49,20,36
54,bobbi brown creamy matte lip color,2,6,2
