query,n_positives,rank_first_positive,missed,hit@1,hit@5,hit@10,hit@100,rr,n_chars,n_words,n_unique_words,n_colors,n_materials,n_garments,n_patterns,has_color,has_material,has_garment,has_pattern,n_sentences
pair of black and white pants. the pants have a geometric pattern and are made of a stretchy material. the pants are high-waisted and have a zipper closure on the side.,1,6,0,0,0,1,1,0.16666666666666666,168,32,21,2,0,1,1,1,0,1,1,3
"pair of black and white printed pants. the pants have a loose fit and feature a flowing, relaxed style. the pattern on the pants consists of black and white zigzag lines, creating a modern and trendy look.",1,5,0,0,1,1,1,0.2,205,37,25,2,0,1,1,1,0,1,1,3
"pair of khaki cargo pants with a brown zipper. the pants have a drawstring waist and a pocket on the leg. the pants are made of a thick, heavy material and have a loose fit.",1,,1,0,0,0,0,0.0,173,35,24,2,0,1,0,1,0,1,0,3
"brown jumper dress with a white zipper. the dress has a loose fit and is made of a thick, heavy fabric. the dress features a round neckline and short sleeves. the dress is worn by a woman who is standing in a room with a white wall.",1,1,0,1,1,1,1,1.0,232,47,31,2,0,1,0,1,0,1,0,4
brown leather fringe jacket with a cowboy collar. the jacket has a western style and is made of high-quality leather. the fringe on the jacket is made of suede and is in shades of brown and tan. the jacket also features a cowboy collar and a front button closure.,1,1,0,1,1,1,1,1.0,263,50,28,2,2,1,0,1,1,1,0,4
"pair of blue jeans with a drawstring waistband. the jeans are made of a soft material and have a relaxed fit. the color of the jeans is a deep blue, and the drawstring is a light blue color. the jeans have a fashionable look and are suitable for casual wear.",1,6,0,0,0,1,1,0.16666666666666666,258,50,27,1,0,1,0,1,0,1,0,4
"woman wearing a striped, short-sleeved, button-down shirt with a floral pattern. the shirt is white with red and black stripes and has a button-down collar. the woman is also wearing a pair of blue jeans.",1,1,0,1,1,1,1,1.0,204,38,26,4,0,2,2,1,0,1,1,3
dress. the dress is black and white with a pattern of black dots on a white background. the dress has a cut-out design on the front and a tie at the neckline. the dress is a loose fit and has a flowy skirt.,1,2,0,0,1,1,1,0.5,206,44,25,2,0,2,0,1,0,1,0,4
"grey t-shirt with a pink design on it. the design features a bus and the words ""miami beach"" written on it.",1,1,0,1,1,1,1,1.0,107,22,17,2,0,1,0,1,0,1,0,2
"white flowy top with a blue embroidered design on the front. the top has a v-neckline and long sleeves with a floral embroidery on the sleeves. the embroidery is blue and white and features a flower design. the top is made of a lightweight material, possibly cotton or linen, and has a loose fit.",1,4,0,0,1,1,1,0.25,296,55,32,2,2,1,2,1,1,1,1,4
pair of pink pants. the pants are cropped and have a straight cut. they are made of a lightweight material and have a shiny finish. the pants are worn by a mannequin and are displayed on a white background.,1,2,0,0,1,1,1,0.5,206,39,25,2,0,1,0,1,0,1,0,4
pair of black leggings. the leggings are made of a shiny material and have a skinny fit. they are held up by a thin belt at the waist.,1,1,0,1,1,1,1,1.0,134,28,22,1,0,1,0,1,0,1,0,3
"white sleeveless shirt with a high collar and a front tie. the shirt is made of a lightweight material, possibly silk or a silk-like blend, and has a loose fit. the front tie is made of a thicker material, possibly cotton or a cotton-blend, and is tied in a knot at the front of the shirt. the shirt has a fashionable, yet simple, style that can be dressed up or down.",1,,1,0,0,0,0,0.0,368,73,40,1,2,1,0,1,1,1,0,4
white t-shirt with french kissing written on it in black letters.,1,1,0,1,1,1,1,1.0,65,12,12,2,0,1,0,1,0,1,0,1
"pair of leggings with a print of a city skyline on them. the leggings are made of a stretchy material and have a high waistband. the print is in shades of brown, green, and blue.",1,1,0,1,1,1,1,1.0,178,35,25,3,0,0,0,1,0,0,0,3
"black dress with a zipper on the front. the dress is made of a stretchy material and has a form-fitting design. the zipper is a prominent feature of the dress, adding a modern touch to the overall style.",1,,1,0,0,0,0,0.0,203,39,26,1,0,1,0,1,0,1,0,3
"navy blue dress with a strapless neckline and a flowy skirt. the dress is made of a stretchy material and has a fitted bodice that flares out into a full skirt. the dress is designed for a comfortable and stylish look, perfect for any occasion.",1,,1,0,0,0,0,0.0,244,45,32,2,0,2,0,1,0,1,0,3
pair of pants. the pants are black and white striped with a wide black stripe on the side. the pants have a cropped length and a wide black belt with a silver buckle. the pants are worn by a woman who is standing and smiling.,1,,1,0,0,0,0,0.0,225,45,28,3,0,2,2,1,0,1,1,4
black leather jacket with a zipper. the jacket has a quilted design and is worn by a woman.,1,2,0,0,1,1,1,0.5,91,18,15,1,1,1,1,1,1,1,1,2
"gray leather bomber jacket with a silver zipper. the jacket has a round neckline and long sleeves. the leather material is shiny and smooth, and the zipper is silver and shiny. the jacket is fashionable and stylish, perfect for any occasion.",1,1,0,1,1,1,1,1.0,241,41,25,2,1,1,0,1,1,1,0,4
"black and white skirt. the skirt is made of a wool blend material and has a flowy, a-line shape. it features a zipper closure on the back and a small slit on the front. the skirt is worn with a black top and is styled with a denim jacket and black tights.",1,,1,0,0,0,0,0.0,255,53,32,2,2,3,0,1,1,1,0,4
"black and white floral embroidered fabric. the fabric has a black and white floral design with a combination of pink and white roses. the embroidery is done with a black thread, and the fabric has a sheer quality to it. the embroidery is intricate and detailed, with each flower and petal carefully stitched. the fabric is made of a delicate material, possibly silk or a similar fabric.",1,1,0,1,1,1,1,1.0,386,67,37,3,1,0,3,1,1,0,1,5
"black woolen skirt. the skirt is made of a thick, woolen material and has a high waist. the skirt is knee-length and has a straight cut. the skirt is paired with a black turtleneck sweater.",1,1,0,1,1,1,1,1.0,189,36,22,1,0,2,0,1,0,1,0,4
black dress with a floral embroidery on the front. the dress has a keyhole neckline and long sleeves with a ruffled cuff. the dress also features a back zipper closure and a flowy skirt with a ruffled hem. the dress is made of a stretchy material and has a loose fit.,1,1,0,1,1,1,1,1.0,267,51,32,1,0,2,2,1,0,1,1,4
"blue and white printed top with a v-neck and short sleeves. the top has a unique design with a mix of squares and triangles. the colors used are blue, white, and black. the fabric appears to be a blend of cotton and polyester. the top is styled in a modern fashion with a loose fit and a relaxed silhouette.",1,1,0,1,1,1,1,1.0,307,60,39,3,2,1,1,1,1,1,1,5
blue denim skirt with a high waist and a zipper closure on the front. the skirt has a frayed hemline and is made of a lightweight denim material.,1,,1,0,0,0,0,0.0,145,28,21,1,1,1,0,1,1,1,0,2
"white t-shirt with a floral design featuring a heart-shaped logo. the shirt has a glittery appearance and is made of a glittery material. the floral design features a mix of different flowers, including some with pink and blue colors. the heart-shaped logo is located in the center of the design.",1,1,0,1,1,1,1,1.0,296,53,32,3,0,1,1,1,0,1,1,4
"dress with a floral print. the dress has a colorful pattern with a mix of orange, yellow, green, and brown colors. the dress is made of a shiny material, possibly metallic, and has a fitted silhouette. the dress also features a decorative collar and a long sleeve design.",1,1,0,1,1,1,1,1.0,271,48,32,4,0,1,2,1,0,1,1,4
"black and white floral print skirt. the skirt is made of a lightweight material and has a flowy, feminine style. the floral print consists of black and white flowers with green leaves. the skirt is knee-length and has a zipper closure on the side.",1,,1,0,0,0,0,0.0,247,45,28,3,0,1,1,1,0,1,1,4
pair of black leather pants. the pants have a loose fit and feature a zipper on the front.,2,3,0,0,1,1,1,0.3333333333333333,90,18,15,1,1,1,0,1,1,1,0,2
black lace top with a sheer black lace off-the-shoulder design. the top has a wide black lace cuff and a wide black lace hem. the top is worn with a black lace bra underneath.,1,1,0,1,1,1,1,1.0,175,36,19,1,1,2,2,1,1,1,1,3
"blue and white floral print skirt with a black lace trim. the skirt has a high waist and a flowy, tiered design. the floral print consists of blue and white flowers with green leaves. the lace trim adds a touch of elegance to the skirt.",1,4,0,0,1,1,1,0.25,236,45,27,4,1,1,2,1,1,1,1,4
