qi,query,rank_a,rank_b,rank_f
0,pair of black and white pants. the pants have a geometric pattern and are made of a stretchy material. the pants are high-waisted and have a zipper closure on the side.,41,56,41
1,"pair of black and white printed pants. the pants have a loose fit and feature a flowing, relaxed style. the pattern on the pants consists of black and white zigzag lines, creating a modern and trendy look.",33,48,27
2,"pair of khaki cargo pants with a brown zipper. the pants have a drawstring waist and a pocket on the leg. the pants are made of a thick, heavy material and have a loose fit.",101,101,101
3,"brown jumper dress with a white zipper. the dress has a loose fit and is made of a thick, heavy fabric. the dress features a round neckline and short sleeves. the dress is worn by a woman who is standing in a room with a white wall.",23,13,12
4,brown leather fringe jacket with a cowboy collar. the jacket has a western style and is made of high-quality leather. the fringe on the jacket is made of suede and is in shades of brown and tan. the jacket also features a cowboy collar and a front button closure.,22,6,12
5,"pair of blue jeans with a drawstring waistband. the jeans are made of a soft material and have a relaxed fit. the color of the jeans is a deep blue, and the drawstring is a light blue color. the jeans have a fashionable look and are suitable for casual wear.",101,55,77
6,"woman wearing a striped, short-sleeved, button-down shirt with a floral pattern. the shirt is white with red and black stripes and has a button-down collar. the woman is also wearing a pair of blue jeans.",8,1,6
7,dress. the dress is black and white with a pattern of black dots on a white background. the dress has a cut-out design on the front and a tie at the neckline. the dress is a loose fit and has a flowy skirt.,46,25,27
8,"grey t-shirt with a pink design on it. the design features a bus and the words ""miami beach"" written on it.",2,1,1
9,"white flowy top with a blue embroidered design on the front. the top has a v-neckline and long sleeves with a floral embroidery on the sleeves. the embroidery is blue and white and features a flower design. the top is made of a lightweight material, possibly cotton or linen, and has a loose fit.",52,20,39
10,pair of pink pants. the pants are cropped and have a straight cut. they are made of a lightweight material and have a shiny finish. the pants are worn by a mannequin and are displayed on a white background.,11,8,7
11,pair of black leggings. the leggings are made of a shiny material and have a skinny fit. they are held up by a thin belt at the waist.,23,4,8
12,"white sleeveless shirt with a high collar and a front tie. the shirt is made of a lightweight material, possibly silk or a silk-like blend, and has a loose fit. the front tie is made of a thicker material, possibly cotton or a cotton-blend, and is tied in a knot at the front of the shirt. the shirt has a fashionable, yet simple, style that can be dressed up or down.",101,93,101
13,white t-shirt with french kissing written on it in black letters.,1,2,1
14,"pair of leggings with a print of a city skyline on them. the leggings are made of a stretchy material and have a high waistband. the print is in shades of brown, green, and blue.",1,2,1
15,"black dress with a zipper on the front. the dress is made of a stretchy material and has a form-fitting design. the zipper is a prominent feature of the dress, adding a modern touch to the overall style.",101,101,101
16,"navy blue dress with a strapless neckline and a flowy skirt. the dress is made of a stretchy material and has a fitted bodice that flares out into a full skirt. the dress is designed for a comfortable and stylish look, perfect for any occasion.",101,101,101
